x,solution,exactSolution
34.799999999999997,1.2421543761576392e-79,3.2524350833357251e-307
34.900000000000006,2.4208722889011052e-80,7.1330887413477857e-311
35.0,4.6974795792131284e-81,1.4880992329798389e-314
35.100000000000001,9.0753536183535603e-82,2.9530550684754227e-318
35.200000000000003,1.7457284315787159e-82,5.5335352334219613e-322
35.299999999999997,3.343590251779135e-83,0.0
35.400000000000006,6.3764849562650936e-84,0.0
35.5,1.2108494942725267e-84,0.0
35.600000000000001,2.2895391027562242e-85,0.0
35.700000000000003,4.3108559119294674e-86,0.0
35.799999999999997,8.0824845809584743e-87,0.0
35.900000000000006,1.5090392024306411e-87,0.0
36.0,2.8056834688778344e-88,0.0
36.100000000000001,5.1947843462916665e-89,0.0
36.200000000000003,9.5784489518544674e-90,0.0
36.299999999999997,1.7588537169599854e-90,0.0
36.400000000000006,3.2164670197505554e-91,0.0
36.5,5.8580254345064899e-92,0.0
36.600000000000001,1.0625613772515147e-92,0.0
36.700000000000003,1.9195313594104098e-93,0.0
36.799999999999997,3.4536835167211772e-94,0.0
36.900000000000006,6.189045423034923e-95,0.0
37.0,1.1046538552306783e-95,0.0
37.100000000000001,1.9638020498187591e-96,0.0
37.200000000000003,3.4773278865233019e-97,0.0
37.300000000000004,6.1330632103716166e-98,0.0
37.399999999999999,1.0774582921809658e-98,0.0
37.5,1.8854804508989797e-99,0.0
37.600000000000001,3.2866192246944115e-100,0.0
37.700000000000003,5.7067616784307793e-101,0.0
37.800000000000004,9.8707512974165421e-102,0.0
37.899999999999999,1.7007398875916612e-102,0.0
